state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
Alabama,244743,44540,18.2,0,198918.0,81.3,11,,,,,,
Arizona,137634,56287,40.9,0,80926.0,58.8,4,,,,,,
Arkansas,212954,63551,29.8,0,148965.0,70.0,9,,,,,,
California,3520875,1512965,43.0,0,1988564.0,56.5,25,,,,,,
Colorado,505039,268731,53.2,6,234331.0,46.4,0,,,,,,
Connecticut,831990,390527,46.9,0,435146.0,52.3,8,,,,,,
Delaware,125361,56747,45.3,0,68166.0,54.4,3,,,,,,
Florida,482803,143215,29.7,0,339377.0,70.3,8,,,,,,
Georgia,328129,56506,17.2,0,268187.0,81.7,12,,,,,,
Idaho,208321,100137,48.1,0,107399.0,51.6,4,,,,,,
Illinois,4036061,1939314,48.0,0,2079479.0,51.5,28,,,,,,
Indiana,1672091,875891,52.4,13,781403.0,46.7,0,,,,,,
Iowa,1052599,547267,52.0,10,499876.0,47.5,0,,,,,,
Kansas,733776,442096,60.2,8,287458.0,39.2,0,,,,,,
Kentucky,867924,392448,45.2,0,472589.0,54.5,11,,,,,,
Louisiana,349383,67750,19.4,0,281564.0,80.6,10,,,,,,
Maine,296400,155434,52.4,5,140631.0,47.4,0,,,,,,
Maryland,608439,292949,48.1,0,315490.0,51.9,8,,,,,,
Massachusetts,1960665,921350,47.0,0,1035296.0,52.8,16,,,,,,
Michigan,2205223,1084423,49.2,0,1106899.0,50.2,19,,,,,,
Minnesota,1125504,527416,46.9,0,589864.0,52.4,11,,,,,,
Mississippi,180234,11613,6.4,0,168621.0,93.6,9,,,,,,
Missouri,1571697,761175,48.4,0,807356.0,51.4,15,,,,,,
Montana,207355,93163,44.9,0,112556.0,54.3,4,,,,,,
Nebraska,563126,329880,58.6,6,233246.0,41.4,0,,,,,,
Nevada,54234,24611,45.4,0,29623.0,54.6,3,,,,,,
New Hampshire,229625,109916,47.9,0,119663.0,52.1,4,,,,,,
New Jersey,1963761,961335,49.0,0,987874.0,50.3,16,,,,,,
New Mexico,152225,70688,46.4,0,81389.0,53.5,4,,,,,,
New York,6316790,2987647,47.3,0,3304238.0,52.3,47,,,,,,
North Carolina,790554,263155,33.3,0,527399.0,66.7,14,,,,,,
North Dakota,220182,118535,53.8,4,100144.0,45.5,0,,,,,,
Ohio,3153056,1582293,50.2,25,1570763.0,49.8,0,,,,,,
Oklahoma,722636,319424,44.2,0,401549.0,55.6,10,,,,,,
Oregon,480147,225365,46.9,0,248635.0,51.8,6,,,,,,
Pennsylvania,3794793,1835054,48.4,0,1940479.0,51.1,35,,,,,,
Rhode Island,299276,123487,41.3,0,175356.0,58.6,4,,,,,,
South Carolina,103382,4554,4.4,0,90601.0,87.6,8,,,,,,
South Dakota,232076,135365,58.3,4,96711.0,41.7,0,,,,,,
Tennessee,510692,200311,39.2,0,308707.0,60.4,12,,,,,,
Texas,1150334,191423,16.6,0,821605.0,71.4,23,,,,,,
Utah,248319,97891,39.4,0,150088.0,60.4,4,,,,,,
Vermont,125361,71527,57.1,3,53820.0,42.9,0,,,,,,
Virginia,388485,145243,37.4,0,242276.0,62.4,11,,,,,,
Washington,856328,361689,42.2,0,486774.0,56.8,8,,,,,,
West Virginia,715596,322819,45.1,0,392777.0,54.9,8,,,,,,
Wisconsin,1339152,674532,50.4,12,650413.0,48.6,0,,,,,,
Wyoming,101340,51921,51.2,3,49419.0,48.8,0,,,,,,
Alabama,214980,40930,19.0,171443,0.0,0.0,0,79.7,11.0,,,,
Arizona,177065,77597,43.8,0,95251.0,53.8,4,0.0,0.0,,,,
Arkansas,242475,50959,21.0,0,149659.0,61.7,9,40068.0,16.5,,,,
California,4021538,1895269,47.1,0,1913134.0,47.6,25,1228.0,0.0,,,,
Colorado,515237,239714,46.5,0,267288.0,51.9,6,0.0,0.0,,,,
Connecticut,883518,437754,49.5,8,423297.0,47.9,0,0.0,0.0,,,,
Delaware,139073,69588,50.0,3,67813.0,48.8,0,0.0,0.0,,,,
Florida,577643,194280,33.6,0,281988.0,48.8,8,89755.0,15.5,,,,
Georgia,418844,76691,18.3,0,254646.0,60.8,12,85135.0,20.3,,,,
Idaho,214816,101514,47.3,0,107370.0,50.0,4,0.0,0.0,,,,
Illinois,3984046,1961103,49.2,0,1994715.0,50.1,28,0.0,0.0,,,,
Indiana,1656212,821079,49.6,13,807831.0,48.8,0,0.0,0.0,,,,
Iowa,1038264,494018,47.6,0,522380.0,50.3,10,0.0,0.0,,,,
Kansas,788819,423039,53.6,8,351902.0,44.6,0,0.0,0.0,,,,
Kentucky,822658,341210,41.5,0,466756.0,56.7,11,10411.0,1.3,,,,
Louisiana,416336,72657,17.5,204290,136344.0,32.7,0,49.1,10.0,,,,
Maine,264787,150234,56.7,5,111916.0,42.3,0,0.0,0.0,,,,
Maryland,596748,294814,49.4,8,286521.0,48.0,0,2489.0,0.4,,,,
Massachusetts,2107146,909370,43.2,0,1151788.0,54.7,16,0.0,0.0,,,,
Michigan,2109609,1038595,49.2,19,1003448.0,47.6,0,0.0,0.0,,,,
Minnesota,1212226,483617,39.9,0,692966.0,57.2,11,0.0,0.0,,,,
Mississippi,192190,5043,2.6,167538,19384.0,10.1,0,87.2,9.0,,,,
Missouri,1578628,655039,41.5,0,917315.0,58.1,15,0.0,0.0,,,,
Montana,224278,96770,43.1,0,119071.0,53.1,4,0.0,0.0,,,,
Nebraska,488940,264774,54.2,6,224165.0,45.8,0,0.0,0.0,,,,
Nevada,62117,29357,47.3,0,31291.0,50.4,3,0.0,0.0,,,,
New Hampshire,231440,121299,52.4,4,107995.0,46.7,0,7.0,0.0,,,,
New Jersey,1949555,981124,50.3,16,895455.0,45.9,0,0.0,0.0,,,,
New Mexico,187063,80303,42.9,0,105464.0,56.4,4,0.0,0.0,,,,
New York,6177337,2841163,46.0,47,2780204.0,45.0,0,0.0,0.0,,,,
North Carolina,791209,258572,32.7,0,459070.0,58.0,14,69652.0,8.8,,,,
North Dakota,220716,115139,52.2,4,95812.0,43.4,0,374.0,0.2,,,,
Ohio,2936071,1445684,49.2,0,1452791.0,49.5,25,0.0,0.0,,,,
Oklahoma,721599,268817,37.3,0,452782.0,62.7,10,0.0,0.0,,,,
Oregon,524080,260904,49.8,6,243147.0,46.4,0,0.0,0.0,,,,
Pennsylvania,3735348,1902197,50.9,35,1752426.0,46.9,0,0.0,0.0,,,,
Rhode Island,327702,135787,41.4,0,188736.0,57.6,4,0.0,0.0,,,,
South Carolina,142571,5386,3.8,102607,34423.0,24.1,0,72.0,8.0,,,,
South Dakota,250105,129651,51.8,4,117653.0,47.0,0,0.0,0.0,,,,
Tennessee,550283,202914,36.9,0,270402.0,49.1,11,73815.0,13.4,1.0,,,
Texas,1147245,282240,24.6,0,750700.0,65.4,23,106909.0,9.3,,,,
Utah,276306,124402,45.0,0,149151.0,54.0,4,0.0,0.0,,,,
Vermont,123382,75926,61.5,3,45557.0,36.9,0,0.0,0.0,,,,
Virginia,419256,172070,41.0,0,200786.0,47.9,11,43393.0,10.4,,,,
Washington,905058,386314,42.7,0,476165.0,52.6,8,0.0,0.0,,,,
West Virginia,748750,316251,42.2,0,429188.0,57.3,8,0.0,0.0,,,,
Wisconsin,1276800,590959,46.3,0,647310.0,50.7,12,0.0,0.0,,,,
Wyoming,101425,47947,47.3,0,52354.0,51.6,3,0.0,0.0,,,,
Alabama,426120,149231,35.0,0,275075.0,64.6,11,,,,,,
Arizona,260570,152042,58.3,4,108528.0,41.7,0,,,,,,
Arkansas,404800,177155,43.8,0,226300.0,55.9,8,,,,,,
California,5141849,2897310,56.3,32,2197548.0,42.7,0,,,,,,
Colorado,630103,379782,60.3,6,245504.0,39.0,0,,,,,,
Connecticut,1096911,611012,55.7,8,481649.0,43.9,0,,,,,,
Delaware,174025,90059,51.8,3,83315.0,47.9,0,,,,,,
Florida,989337,544036,55.0,10,444950.0,45.0,0,,,,,,
Georgia,655785,198961,30.3,0,456823.0,69.7,12,,,,,,
Idaho,276254,180707,65.4,4,95081.0,34.4,0,,,,,,
Illinois,4481058,2457327,54.8,27,2013920.0,44.9,0,,,,,,
Indiana,1955049,1136259,58.1,13,801530.0,41.0,0,,,,,,
Iowa,1268773,808906,63.8,10,451513.0,35.6,0,,,,,,
