state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
New York,7291079,3446419,47.3,0,3830085.0,52.5,45,,,,,,
North Carolina,1368556,655420,47.9,0,713136.0,52.1,14,,,,,,
North Dakota,278431,154310,55.4,4,123963.0,44.5,0,,,,,,
Ohio,4161859,2217611,53.3,25,1944248.0,46.7,0,,,,,,
Oklahoma,903150,533039,59.0,7*,370111.0,41.0,0,,,,,,
Oregon,776421,408060,52.6,6,367402.0,47.3,0,,,,,,
Pennsylvania,5006541,2439956,48.7,0,2556282.0,51.1,32,,,,,,
Rhode Island,405535,147502,36.4,0,258032.0,63.6,4,,,,,,
South Carolina,386688,188558,48.8,0,198129.0,51.2,8,,,,,,
South Dakota,306487,178417,58.2,4,128070.0,41.8,0,,,,,,
Tennessee,1051792,556577,52.9,11,481453.0,45.8,0,,,,,,
Texas,2311084,1121310,48.5,0,1167567.0,50.5,24,,,,,,
Utah,374709,205361,54.8,4,169248.0,45.2,0,,,,,,
Vermont,167324,98131,58.6,3,69186.0,41.3,0,,,,,,
Virginia,771449,404521,52.4,12,362327.0,47.0,0,,,,,,
Washington,1241572,629273,50.7,9,599298.0,48.3,0,,,,,,
West Virginia,837781,395995,47.3,0,441786.0,52.7,8,,,,,,
Wisconsin,1729082,895175,51.8,12,830805.0,48.0,0,,,,,,
Wyoming,140782,77451,55.0,3,63331.0,45.0,0,,,,,,
Alabama,689818,479085,69.5,10,0.0,0.0,0,,,,,,
Alaska,67259,22930,34.1,0,44329.0,65.9,3,,,,,,
Arizona,480770,242535,50.4,5,237753.0,49.5,0,,,,,,
Arkansas,560426,243264,43.4,0,314197.0,56.1,6,,,,,,
California,7057586,2879108,40.8,0,4171877.0,59.1,40,,,,,,
Colorado,776986,296767,38.2,0,476024.0,61.3,6,,,,,,
Connecticut,1218578,390996,32.1,0,826269.0,67.8,8,,,,,,
Delaware,201320,78078,38.8,0,122704.0,60.9,3,,,,,,
Dist of Col,198597,28801,14.5,0,169796.0,85.5,3,,,,,,
Florida,1854481,905941,48.9,0,948540.0,51.1,14,,,,,,
Georgia,1139335,616584,54.1,12,522556.0,45.9,0,,,,,,
Hawaii,207271,44022,21.2,0,163249.0,78.8,4,,,,,,
Idaho,292477,143557,49.1,0,148920.0,50.9,4,,,,,,
Illinois,4702841,1905946,40.5,0,2796833.0,59.5,26,,,,,,
Indiana,2091606,911118,43.6,0,1170848.0,56.0,13,,,,,,
Iowa,1184539,449148,37.9,0,733030.0,61.9,9,,,,,,
Kansas,857901,386579,45.1,0,464028.0,54.1,7,,,,,,
Kentucky,1046105,372977,35.7,0,669659.0,64.0,9,,,,,,
Louisiana,896293,509225,56.8,10,387068.0,43.2,0,,,,,,
Maine,380965,118701,31.2,0,262264.0,68.8,4,,,,,,
Maryland,1116457,385495,34.5,0,730912.0,65.5,10,,,,,,
Massachusetts,2344798,549727,23.4,0,1786422.0,76.2,14,,,,,,
Michigan,3203102,1060152,33.1,0,2136615.0,66.7,21,,,,,,
Minnesota,1554462,559624,36.0,0,991117.0,63.8,10,,,,,,
Mississippi,409146,356528,87.1,7,52618.0,12.9,0,,,,,,
Missouri,1817879,653535,36.0,0,1164344.0,64.0,12,,,,,,
Montana,278628,113032,40.6,0,164246.0,58.9,4,,,,,,
Nebraska,584154,276847,47.4,0,307307.0,52.6,5,,,,,,
Nevada,135433,56094,41.4,0,79339.0,58.6,3,,,,,,
New Hampshire,288093,104029,36.1,0,184064.0,63.9,4,,,,,,
New Jersey,2847663,964174,33.9,0,1868231.0,65.6,17,,,,,,
New Mexico,328645,132838,40.4,0,194015.0,59.0,4,,,,,,
New York,7166275,2243559,31.3,0,4913102.0,68.6,43,,,,,,
North Carolina,1424983,624844,43.8,0,800139.0,56.2,13,,,,,,
North Dakota,258389,108207,41.9,0,149784.0,58.0,4,,,,,,
Ohio,3969196,1470865,37.1,0,2498331.0,62.9,26,,,,,,
Oklahoma,932499,412665,44.3,0,519834.0,55.7,8,,,,,,
Oregon,786305,282779,36.0,0,501017.0,63.7,6,,,,,,
Pennsylvania,4822690,1673657,34.7,0,3130954.0,64.9,29,,,,,,
Rhode Island,390091,74615,19.1,0,315463.0,80.9,4,,,,,,
South Carolina,524779,309048,58.9,8,215723.0,41.1,0,,,,,,
South Dakota,293118,130108,44.4,0,163010.0,55.6,4,,,,,,
Tennessee,1143946,508965,44.5,0,634947.0,55.5,11,,,,,,
Texas,2626811,958566,36.5,0,1663185.0,63.3,25,,,,,,
Utah,401413,181785,45.3,0,219628.0,54.7,4,,,,,,
Vermont,163089,54942,33.7,0,108127.0,66.3,3,,,,,,
Virginia,1042267,481334,46.2,0,558038.0,53.5,12,,,,,,
Washington,1258556,470366,37.4,0,779881.0,62.0,9,,,,,,
West Virginia,792040,253953,32.1,0,538087.0,67.9,7,,,,,,
Wisconsin,1691815,638495,37.7,0,1050424.0,62.1,12,,,,,,
Wyoming,142716,61998,43.4,0,80718.0,56.6,3,,,,,,
Alabama,1049922,146923,14.0,0,196579.0,18.7,691425,65.9,10.0,,,,
Alaska,83035,37600,45.3,3,35411.0,42.6,0,10024.0,12.1,,,,
Arizona,486936,266721,54.8,5,170514.0,35.0,0,46573.0,9.6,,,,
Arkansas,619969,190759,30.8,0,188228.0,30.4,240982,38.9,6.0,,,,
California,7251587,3467664,47.8,40,3244318.0,44.7,0,487270.0,6.7,,,,
Colorado,811199,409345,50.5,6,335174.0,41.3,0,60813.0,7.5,,,,
Connecticut,1256232,556721,44.3,0,621561.0,49.5,8,76650.0,6.1,,,,
Delaware,214367,96714,45.1,3,89194.0,41.6,0,28459.0,13.3,,,,
Dist of Col,170578,31012,18.2,0,139566.0,81.8,3,0.0,0.0,,,,
Florida,2187805,886804,40.5,14,676794.0,30.9,0,624207.0,28.5,,,,
Georgia,1250266,380111,30.4,0,334440.0,26.7,535550,42.8,12.0,,,,
Hawaii,236218,91425,38.7,0,141324.0,59.8,4,3469.0,1.5,,,,
Idaho,291183,165369,56.8,4,89273.0,30.7,0,36541.0,12.5,,,,
Illinois,4619749,2174774,47.1,26,2039814.0,44.2,0,390958.0,8.5,,,,
Indiana,2123597,1067885,50.3,13,806659.0,38.0,0,243108.0,11.4,,,,
Iowa,1167931,619106,53.0,9,476699.0,40.8,0,66422.0,5.7,,,,
Kansas,872783,478674,54.8,7,302996.0,34.7,0,88921.0,10.2,,,,
Kentucky,1055893,462411,43.8,9,397541.0,37.6,0,193098.0,18.3,,,,
Louisiana,1097450,257535,23.5,0,309615.0,28.2,530300,48.3,10.0,,,,
Maine,392936,169254,43.1,0,217312.0,55.3,4,6370.0,1.6,,,,
Maryland,1235039,517995,41.9,0,538310.0,43.6,10,178734.0,14.5,,,,
Massachusetts,2331752,766844,32.9,0,1469218.0,63.0,14,87088.0,3.7,,,,
Michigan,3306250,1370665,41.5,0,1593082.0,48.2,21,331968.0,10.0,,,,
Minnesota,1588506,658643,41.5,0,857738.0,54.0,10,68931.0,4.3,,,,
Mississippi,654509,88516,13.5,0,150644.0,23.0,415349,63.5,7.0,,,,
Missouri,1809502,811932,44.9,12,791444.0,43.7,0,206126.0,11.4,,,,
Montana,274404,138835,50.6,4,114117.0,41.6,0,20015.0,7.3,,,,
Nebraska,536851,321163,59.8,5,170784.0,31.8,0,44904.0,8.4,,,,
Nevada,154218,73188,47.5,3,60598.0,39.3,0,20432.0,13.2,,,,
New Hampshire,297298,154903,52.1,4,130589.0,43.9,0,11173.0,3.8,,,,
New Jersey,2875395,1325467,46.1,17,1264206.0,44.0,0,262187.0,9.1,,,,
New Mexico,327350,169692,51.8,4,130081.0,39.7,0,25737.0,7.9,,,,
New York,6791688,3007932,44.3,0,3378470.0,49.7,43,358864.0,5.3,,,,
North Carolina,1587493,627192,39.5,12,464113.0,29.2,0,496188.0,31.3,1.0,,,
North Dakota,247882,138669,55.9,4,94769.0,38.2,0,14244.0,5.7,,,,
Ohio,3959698,1791014,45.2,26,1700586.0,42.9,0,467495.0,11.8,,,,
Oklahoma,943086,449697,47.7,8,301658.0,32.0,0,191731.0,20.3,,,,
Oregon,819622,408433,49.8,6,358866.0,43.8,0,49683.0,6.1,,,,
Pennsylvania,4747928,2090017,44.0,0,2259405.0,47.6,29,378582.0,8.0,,,,
Rhode Island,385000,122359,31.8,0,246518.0,64.0,4,15678.0,4.1,,,,
South Carolina,666978,254062,38.1,8,197486.0,29.6,0,215430.0,32.3,,,,
South Dakota,281264,149841,53.3,4,118023.0,42.0,0,13400.0,4.8,,,,
Tennessee,1248617,472592,37.8,11,351233.0,28.1,0,424792.0,34.0,,,,
Texas,3079216,1227844,39.9,0,1266804.0,41.1,25,584269.0,19.0,,,,
Utah,422568,238728,56.5,4,156665.0,31.1,0,26906.0,6.4,,,,
Vermont,161404,85142,52.8,3,70255.0,43.5,0,5104.0,3.2,,,,
Virginia,1361491,590319,43.4,12,442387.0,32.5,0,321833.0,23.6,,,,
Washington,1304281,588510,45.1,0,616037.0,47.2,9,96990.0,7.4,,,,
West Virginia,754206,307555,40.8,0,374091.0,49.6,7,72560.0,9.6,,,,
Wisconsin,1691538,809997,47.9,12,748804.0,44.3,0,127835.0,7.6,,,,
Wyoming,127205,70927,55.8,3,45173.0,35.5,0,11105.0,8.7,,,,
Alabama,1006111,728701,72.4,9,256923.0,25.5,0,,,,,,
Alaska,95219,55349,58.1,3,32967.0,34.6,0,,,,,,
Arizona,622926,402812,64.7,6,198540.0,31.9,0,,,,,,
Arkansas,651320,448541,68.9,6,199892.0,30.7,0,,,,,,
California,8367862,4602096,55.0,45,3475847.0,41.5,0,,,,,,
Colorado,953884,597189,62.6,7,329980.0,34.6,0,,,,,,
Connecticut,1384277,810763,58.6,8,555498.0,40.1,0,,,,,,
Delaware,235516,140357,59.6,3,92283.0,39.2,0,,,,,,
Dist of Col,163421,35226,21.6,0,127627.0,78.1,3,,,,,,
Florida,2583283,1857759,71.9,17,718117.0,27.8,0,,,,,,
Georgia,1174772,881496,75.0,12,289529.0,24.6,0,,,,,,
Hawaii,270274,168865,62.5,4,101409.0,37.5,0,,,,,,
Idaho,310379,199384,64.2,4,80826.0,26.0,0,,,,,,
Illinois,4723236,2788179,59.0,26,1913472.0,40.5,0,,,,,,
Indiana,2125529,1405154,66.1,13,708568.0,33.3,0,,,,,,
Iowa,1225944,706207,57.6,8,496206.0,40.5,0,,,,,,
Kansas,916095,619812,67.7,7,270287.0,29.5,0,,,,,,
Kentucky,1067499,676446,63.4,9,371159.0,34.8,0,,,,,,
Louisiana,1051491,686852,65.3,10,298142.0,28.4,0,,,,,,
Maine,417042,256458,61.5,4,160584.0,38.5,0,,,,,,
Maryland,1353812,829305,61.3,10,505781.0,37.4,0,,,,,,
Massachusetts,2458756,1112078,45.2,0,1332540.0,54.2,14,,,,,,
Michigan,3489727,1961721,56.2,21,1459435.0,41.8,0,,,,,,
Minnesota,1741652,898269,51.6,10,802346.0,46.1,0,,,,,,
Mississippi,645963,505125,78.2,7,126782.0,19.6,0,,,,,,
Missouri,1855803,1153852,62.2,12,697147.0,37.6,0,,,,,,
Montana,317603,183976,57.9,4,120197.0,37.8,0,,,,,,
Nebraska,576289,406298,70.5,5,169991.0,29.5,0,,,,,,
Nevada,181766,115750,63.7,3,66016.0,36.3,0,,,,,,
New Hampshire,334055,213724,64.0,4,116435.0,34.9,0,,,,,,
New Jersey,2997229,1845502,61.6,17,1102211.0,36.8,0,,,,,,
New Mexico,386241,235606,61.0,4,141084.0,36.5,0,,,,,,
New York,7165919,4192778,58.5,41,2951084.0,41.2,0,,,,,,
North Carolina,1518612,1054889,69.5,13,438705.0,28.9,0,,,,,,
North Dakota,280514,174109,62.1,3,100384.0,35.8,0,,,,,,
Ohio,4094787,2441827,59.6,25,1558889.0,38.1,0,,,,,,
Oklahoma,1029900,759025,73.7,8,247147.0,24.0,0,,,,,,
Oregon,927946,486686,52.4,6,392760.0,42.3,0,,,,,,
Pennsylvania,4592106,2714521,59.1,27,1796951.0,39.1,0,,,,,,
Rhode Island,415808,220383,53.0,4,194645.0,46.8,0,,,,,,
South Carolina,673960,477044,70.8,8,186824.0,27.7,0,,,,,,
South Dakota,307415,166476,54.2,4,139945.0,45.5,0,,,,,,
Tennessee,1201182,813147,67.7,10,357293.0,29.7,0,,,,,,
Texas,3471281,2298896,66.2,26,1154289.0,33.3,0,,,,,,
Utah,478476,323643,67.6,4,126284.0,26.4,0,,,,,,
Vermont,186947,117149,62.7,3,68174.0,36.5,0,,,,,,
Virginia,1457019,988493,67.8,11*,438887.0,30.1,0,,,,,,
Washington,1470847,837135,56.9,9,568334.0,38.6,0,,,,,,
West Virginia,762399,484964,63.6,6,277435.0,36.4,0,,,,,,
Wisconsin,1852890,989430,53.4,11,810174.0,43.7,0,,,,,,
Wyoming,145570,100464,69.0,3,44358.0,30.5,0,,,,,,
Alabama,1341929,654192,48.8,9,636730.0,47.4,0,16481.0,1.2,,,,
Alaska,158445,86112,54.3,3,41842.0,26.4,0,11155.0,7.0,,,,
Arizona,873945,529688,60.6,6,246843.0,28.2,0,76952.0,8.8,,,,
Arkansas,837582,403164,48.1,6,398041.0,47.5,0,22468.0,2.7,,,,
California,8587063,4524858,52.7,45,3083661.0,35.9,0,739833.0,8.6,,,,
Colorado,1184415,652264,55.1,7,367973.0,31.1,0,130633.0,11.0,,,,
Connecticut,1406285,677210,48.2,8,541732.0,38.5,0,171807.0,12.2,,,,
Delaware,235900,111252,47.2,3,105754.0,44.8,0,16288.0,6.9,,,,
Dist of Col,175237,23545,13.4,0,131113.0,74.8,3,16337.0,9.3,,,,
Florida,3686930,2046951,55.5,17,1419475.0,38.5,0,189692.0,5.1,,,,
Georgia,1596695,654168,41.0,0,890733.0,55.8,12,36055.0,2.3,,,,
Hawaii,303287,130112,42.9,0,135879.0,44.8,4,32021.0,10.6,,,,
Idaho,437431,290699,66.5,4,110192.0,25.2,0,27058.0,6.2,,,,
Illinois,4749721,2358049,49.6,26,1981413.0,41.7,0,346754.0,7.3,,,,
Indiana,2242033,1255656,56.0,13,844197.0,37.7,0,111639.0,5.0,,,,
Iowa,1317661,676026,51.3,8,508672.0,38.6,0,115633.0,8.8,,,,
Kansas,979795,566812,57.9,7,326150.0,33.3,0,68231.0,7.0,,,,
Kentucky,1294627,635274,49.1,9,616417.0,47.6,0,31127.0,2.4,,,,
Louisiana,1548591,792853,51.2,10,708453.0,45.7,0,26345.0,1.7,,,,
Maine,523011,238522,45.6,4,220974.0,42.3,0,53327.0,10.2,,,,
Maryland,1540496,680606,44.2,0,726161.0,47.1,10,119537.0,7.8,,,,
Massachusetts,2522890,1057631,41.9,14,1053802.0,41.7,0,382539.0,15.2,,,,
Michigan,3909725,1915225,49.0,21,1661532.0,42.5,0,275223.0,7.0,,,,
Minnesota,2051980,873268,42.6,0,954174.0,46.5,10,174990.0,8.5,,,,
Mississippi,892620,441089,49.4,7,429281.0,48.1,0,12036.0,1.3,,,,
Missouri,2099824,1074181,51.2,12,931182.0,44.3,0,77920.0,3.7,,,,
Montana,363952,206814,56.8,4,118032.0,32.4,0,29281.0,8.0,,,,
Nebraska,640854,419937,65.5,5,166851.0,26.0,0,44993.0,7.0,,,,
Nevada,247885,155017,62.5,3,66666.0,26.9,0,17651.0,7.1,,,,
New Hampshire,383990,221705,57.7,4,108864.0,28.4,0,49693.0,12.9,,,,
New Jersey,2975684,1546557,52.0,17,1147364.0,38.6,0,234632.0,7.9,,,,
New Mexico,456971,250779,54.9,4,167826.0,36.7,0,29459.0,6.4,,,,
New York,6201959,2893831,46.7,41,2728372.0,44.0,0,467801.0,7.5,,,,
North Carolina,1855833,915018,49.3,13,875635.0,47.2,0,52800.0,2.8,,,,
North Dakota,301545,193695,64.2,3,79189.0,26.3,0,23640.0,7.8,,,,
Ohio,4283603,2206545,51.5,25,1752414.0,40.9,0,254472.0,5.9,,,,
Oklahoma,1149708,695570,60.5,8,402026.0,35.0,0,38284.0,3.3,,,,
Oregon,1181516,571044,48.3,6,456890.0,38.7,0,112389.0,9.5,,,,
Pennsylvania,4561501,2261872,49.6,27,1937540.0,42.5,0,292921.0,6.4,,,,
Rhode Island,416072,154793,37.2,0,198342.0,47.7,4,59819.0,14.4,,,,
South Carolina,894071,441841,49.4,8,430385.0,48.1,0,14153.0,1.6,,,,
South Dakota,327703,198343,60.5,4,103855.0,31.7,0,21431.0,6.5,,,,
Tennessee,1617616,787761,48.7,10,783051.0,48.4,0,35991.0,2.2,,,,
Texas,4541636,2510705,55.3,26,1881147.0,41.4,0,111613.0,2.5,,,,
Utah,604222,439687,72.8,4,124266.0,20.6,0,30284.0,5.0,,,,
Vermont,213299,94628,44.4,3,81952.0,38.4,0,31761.0,14.9,,,,
Virginia,1866032,989609,53.0,12,752174.0,40.3,0,95418.0,5.1,,,,
Washington,1742394,865244,49.7,9,650193.0,37.3,0,185073.0,10.6,,,,
West Virginia,737715,334206,45.3,0,367462.0,49.8,6,31691.0,4.3,,,,
Wisconsin,2273221,1088845,47.9,11,981584.0,43.2,0,160657.0,7.1,,,,
Wyoming,176713,110700,62.6,3,49427.0,28.0,0,12072.0,6.8,,,,
Alabama,1441713,872849,60.5,9,551899.0,38.3,0,,,,,,
Alaska,207605,138377,66.7,3,62007.0,29.9,0,,,,,,
Arizona,1025897,681416,66.4,7,333854.0,32.5,0,,,,,,
Arkansas,884406,534774,60.5,6,338646.0,38.3,0,,,,,,
California,9505423,5467009,57.5,47,3922519.0,41.3,0,,,,,,
Colorado,1295380,821817,63.4,8,454975.0,35.1,0,,,,,,
Connecticut,1466900,890877,60.7,8,569597.0,38.8,0,,,,,,
Delaware,254572,152190,59.8,3,101656.0,39.9,0,,,,,,
Dist of Col,211288,29009,13.7,0,180408.0,85.4,3,,,,,,
Florida,4180051,2730350,65.3,21,1448816.0,34.7,0,,,,,,
Georgia,1776120,1068722,60.2,12,706628.0,39.8,0,,,,,,
Hawaii,335846,185050,55.1,4,147154.0,43.8,0,,,,,,
Idaho,411144,297523,72.4,4,108510.0,26.4,0,,,,,,
Illinois,4819088,2707103,56.2,24,2086499.0,43.3,0,,,,,,
Indiana,2233069,1377230,61.7,12,841481.0,37.7,0,,,,,,
Iowa,1319805,703088,53.3,8,605620.0,45.9,0,,,,,,
Kansas,1021991,677296,66.3,7,333149.0,32.6,0,,,,,,
Kentucky,1369345,821702,60.0,9,539539.0,39.4,0,,,,,,
Louisiana,1706822,1037299,60.8,10,651586.0,38.2,0,,,,,,
Maine,553144,336500,60.8,4,214515.0,38.8,0,,,,,,
Maryland,1675873,879918,52.5,10,787935.0,47.0,0,,,,,,
Massachusetts,2559453,1310936,51.2,13,1239606.0,48.4,0,,,,,,
Michigan,3801658,2251571,59.2,20,1529638.0,40.2,0,,,,,,
Minnesota,2084449,1032603,49.5,0,1036364.0,49.7,10,,,,,,
Mississippi,941104,582377,61.9,7,352192.0,37.4,0,,,,,,
Missouri,2122783,1274188,60.0,11,848583.0,40.0,0,,,,,,
Montana,384377,232450,60.5,4,146742.0,38.2,0,,,,,,
Nebraska,652090,460054,70.6,5,187866.0,28.8,0,,,,,,
Nevada,286667,188770,65.8,4,91655.0,32.0,0,,,,,,
New Hampshire,389066,267051,68.6,4,120395.0,30.9,0,,,,,,
New Jersey,3217862,1933630,60.1,16,1261323.0,39.2,0,,,,,,
New Mexico,514370,307101,59.7,5,201769.0,39.2,0,,,,,,
New York,6806810,3664763,53.8,36,3119609.0,45.8,0,,,,,,
North Carolina,2175361,1346481,61.9,13,824287.0,37.9,0,,,,,,
North Dakota,308971,200336,64.8,3,104429.0,33.8,0,,,,,,
Ohio,4547619,2678560,58.9,23,1825440.0,40.1,0,,,,,,
Oklahoma,1255676,861530,68.6,8,385080.0,30.7,0,,,,,,
Oregon,1226527,685700,55.9,7,536479.0,43.7,0,,,,,,
Pennsylvania,4844903,2584323,53.3,25,2228131.0,46.0,0,,,,,,
Rhode Island,410492,212080,51.7,4,197106.0,48.0,0,,,,,,
South Carolina,968529,615539,63.6,8,344459.0,35.6,0,,,,,,
South Dakota,317867,200267,63.0,3,116113.0,36.5,0,,,,,,
Tennessee,1711994,990212,57.8,11,711714.0,41.6,0,,,,,,
Texas,5397571,3433428,63.6,29,1949276.0,36.1,0,,,,,,
Utah,629656,469105,74.5,5,155369.0,24.7,0,,,,,,
Vermont,234561,135865,57.9,3,95730.0,40.8,0,,,,,,
Virginia,2146635,1337078,62.3,12,796250.0,37.1,0,,,,,,
Washington,1883910,1051670,55.8,10,807352.0,42.9,0,,,,,,
West Virginia,735742,405483,55.1,6,328125.0,44.6,0,,,,,,
Wisconsin,2211689,1198584,54.2,11,995740.0,45.0,0,,,,,,
Wyoming,188968,133241,70.5,3,53370.0,28.2,0,,,,,,
Alabama,1378476,815576,59.2,9,549506.0,39.9,0,,,,,,
Alaska,200116,119251,59.6,3,72584.0,36.3,0,,,,,,
Arizona,1171873,702541,60.0,7,454029.0,38.7,0,,,,,,
Arkansas,827738,466578,56.4,6,349237.0,42.2,0,,,,,,
California,9887065,5054917,51.1,47,4702233.0,47.6,0,,,,,,
Colorado,1372394,728177,53.1,8,621453.0,45.3,0,,,,,,
Connecticut,1443394,750241,52.0,8,676584.0,46.9,0,,,,,,
Delaware,249891,139639,55.9,3,108647.0,43.5,0,,,,,,
Dist of Col,192877,27590,14.3,0,159407.0,82.6,3,,,,,,
Florida,4302313,2618885,60.9,21,1656701.0,38.5,0,,,,,,
Georgia,1809672,1081331,59.8,12,714792.0,39.5,0,,,,,,
Hawaii,354461,158625,44.8,0,192364.0,54.3,4,,,,,,
Idaho,408968,253881,62.1,4,147272.0,36.0,0,,,,,,
Illinois,4559120,2310939,50.7,24,2215940.0,48.6,0,,,,,,
Indiana,2168621,1297763,59.8,12,860643.0,39.7,0,,,,,,
Iowa,1225614,545355,44.5,0,670557.0,54.7,8,,,,,,
Kansas,993044,554049,55.8,7,422636.0,42.6,0,,,,,,
Kentucky,1322517,734281,55.5,9,580368.0,43.9,0,,,,,,
Louisiana,1628202,883702,54.3,10,717460.0,44.1,0,,,,,,
Maine,555035,307131,55.3,4,243569.0,43.9,0,,,,,,
Maryland,1714358,876167,51.1,10,826304.0,48.2,0,,,,,,
Massachusetts,2632805,1194635,45.4,0,1401415.0,53.2,13,,,,,,
Michigan,3669163,1965486,53.6,20,1675783.0,45.7,0,,,,,,
Minnesota,2096790,962337,45.9,0,1109471.0,52.9,10,,,,,,
Mississippi,931527,557890,59.9,7,363921.0,39.1,0,,,,,,
Missouri,2093713,1084953,51.8,11,1001619.0,47.8,0,,,,,,
Montana,365674,190412,52.1,4,168936.0,46.2,0,,,,,,
Nebraska,661465,397956,60.2,5,259235.0,39.2,0,,,,,,
Nevada,350067,206040,58.9,4,132738.0,37.9,0,,,,,,
New Hampshire,451074,281537,62.4,4,163696.0,36.3,0,,,,,,
New Jersey,3099553,1743192,56.2,16,1320352.0,42.6,0,,,,,,
New Mexico,521287,270341,51.9,5,244497.0,46.9,0,,,,,,
New York,6485683,3081871,47.5,0,3347882.0,51.6,36,,,,,,
North Carolina,2134370,1237258,58.0,13,890167.0,41.7,0,,,,,,
North Dakota,297261,166559,56.0,3,127739.0,43.0,0,,,,,,
Ohio,4393699,2416549,55.0,23,1939629.0,44.1,0,,,,,,
Oklahoma,1171036,678367,57.9,8,483423.0,41.3,0,,,,,,
Oregon,1201694,560126,46.6,0,616206.0,51.3,7,,,,,,
Pennsylvania,4536251,2300087,50.7,25,2194944.0,48.4,0,,,,,,
Rhode Island,404620,177761,43.9,0,225123.0,55.6,4,,,,,,
South Carolina,986009,606443,61.5,8,370554.0,37.6,0,,,,,,
South Dakota,312991,165415,52.8,3,145560.0,46.5,0,,,,,,
Tennessee,1636250,947233,57.9,11,679794.0,41.5,0,,,,,,
Texas,5427410,3036829,56.0,29,2352748.0,43.3,0,,,,,,
Utah,647008,428442,66.2,5,207343.0,32.0,0,,,,,,
Vermont,243328,124331,51.1,3,115775.0,47.6,0,,,,,,
Virginia,2191609,1309162,59.7,12,859799.0,39.2,0,,,,,,
Washington,1865253,903835,48.5,0,933516.0,50.0,10,,,,,,
West Virginia,653311,310065,47.5,0,341016.0,52.2,5*,,,,,,
Wisconsin,2191608,1047499,47.8,0,1126794.0,51.4,11,,,,,,
Wyoming,176551,106867,60.5,3,67113.0,38.0,0,,,,,,
Alabama,1688060,804283,47.6,9,690080.0,40.9,0,183109.0,10.8,,,,
Alaska,258506,102000,39.5,3,78294.0,30.3,0,73481.0,28.4,,,,
Arizona,1486975,572086,38.5,8,543050.0,36.5,0,353741.0,23.8,,,,
Arkansas,950653,337324,35.5,0,505823.0,53.2,6,99132.0,10.4,,,,
California,11131721,3630574,32.6,0,5121325.0,46.0,54,2296006.0,20.6,,,,
Colorado,1569180,562850,35.9,0,629681.0,40.1,8,366010.0,23.3,,,,
Connecticut,1616332,578313,35.8,0,682318.0,42.2,8,348771.0,21.6,,,,
Delaware,289735,102313,35.3,0,126054.0,43.5,3,59213.0,20.4,,,,
Dist of Col,227572,20698,9.1,0,192619.0,84.6,3,9681.0,4.3,,,,
Florida,5314392,2173310,40.9,25,2072698.0,39.0,0,1053067.0,19.8,,,,
Georgia,2321125,995252,42.9,0,1008966.0,43.5,13,309657.0,13.3,,,,
Hawaii,372842,136822,36.7,0,179310.0,48.1,4,53003.0,14.2,,,,
Idaho,482142,202645,42.0,4,137013.0,28.4,0,130395.0,27.0,,,,
Illinois,5050157,1734096,34.3,0,2453350.0,48.6,22,840515.0,16.6,,,,
Indiana,2305871,989375,42.9,12,848420.0,36.8,0,455934.0,19.8,,,,
Iowa,1354607,504891,37.3,0,586353.0,43.3,7,253468.0,18.7,,,,
Kansas,1157335,449951,38.9,6,390434.0,33.7,0,312358.0,27.0,,,,
Kentucky,1492900,617178,41.3,0,665104.0,44.6,8,203944.0,13.7,,,,
Louisiana,1790017,733386,41.0,0,815971.0,45.6,9,211478.0,11.8,,,,
Maine,679499,206504,30.4,0,263420.0,38.8,4,206820.0,,,,,
Maryland,1985046,707094,35.6,0,988571.0,49.8,10,281414.0,14.2,,,,
Massachusetts,2773700,805049,29.0,0,1318662.0,47.5,12,630731.0,22.7,,,,
Michigan,4274673,1554940,36.4,0,1871182.0,43.8,18,824813.0,19.3,,,,
Minnesota,2347948,747841,31.9,0,1020997.0,43.5,10,562506.0,24.0,,,,
Mississippi,981793,487793,49.7,7,400258.0,40.8,0,85626.0,8.7,,,,
Missouri,2391565,811159,33.9,0,1053873.0,44.1,11,518741.0,21.7,,,,
Montana,410611,144207,35.1,0,154507.0,37.6,3,107225.0,26.1,,,,
Nebraska,737546,343678,46.6,5,216864.0,29.4,0,174104.0,23.6,,,,
Nevada,506318,175828,34.7,0,189148.0,37.4,4,132580.0,26.2,,,,
New Hampshire,537943,202484,37.6,0,209040.0,38.9,4,121337.0,22.6,,,,
New Jersey,3343594,1356865,40.6,0,1436206.0,43.0,15,521829.0,15.6,,,,
New Mexico,569986,212824,37.3,0,261617.0,45.9,5,91895.0,16.1,,,,
New York,6926925,2346649,33.9,0,3444450.0,49.7,33,1090721.0,15.7,,,,
North Carolina,2611850,1134661,43.4,14,1114042.0,42.7,0,357864.0,13.7,,,,
North Dakota,308133,136244,44.2,3,99168.0,32.2,0,71084.0,23.1,,,,
Ohio,4939967,1894310,38.3,0,1984942.0,40.2,21,1036426.0,21.0,,,,
Oklahoma,1390359,592929,42.6,8,473066.0,34.0,0,319878.0,23.0,,,,
Oregon,1462643,475757,32.5,0,621314.0,42.5,7,354091.0,24.2,,,,
Pennsylvania,4959810,1791841,36.1,0,2239164.0,45.1,23,902667.0,18.2,,,,
